"Маршала Казакова ул., д.10, к.1а",1213.05\1013,964.26\905
"Маршала Казакова ул., д.10, к.1б",946.418\605.3,841.5\600
"Маршала Казакова ул., д.10, к.1в",1303.19\724.4,1300.86\728
"Маршала Казакова ул., д.10, к.1д",960.601\889,749.43\833
"Маршала Казакова ул., д.13",2330.06\788.6,2382.93\712
"Метростроевцев ул., д.2",335.35\273.6,183.35\187
"Метростроевцев ул., д.3",90.5\59.5,84.33\56
"Морской пехоты ул., д.4",1805.2\1171,1692\1213
"Морской пехоты ул., д.6, к.1",1027.16\494.5,1471.46\482
"Морской пехоты ул., д.10, к.1",1901.3\974.8,1821\929
"Морской пехоты ул., д.14",1302.2\757.4,1274\712
"Народного ополчения пр., д.7",386.4\173.7,401\178
"Новаторов бул., д.1",215.91\215.2,118.8\145
"Новаторов бул., д.3",136.4\74.5,115\81
"Новоовсянниковская ул., д.9",37.1\21.5,53\35
"Новоовсянниковская ул., д.13",36.5\17.9,32\20
"Новоовсянниковская ул., д.19, к.2",35\17,33\19
"Новостроек ул., д.8",32.4\16.9,17\9
"Новостроек ул., д.20",215.5\131.9,206\129
"Новостроек ул., д.25",230.435\137.3,238\140
"Новостроек ул., д.27",34.3\19.2,47\26
"Новостроек ул., д.28",112.7\55.5,93\57
"Новостроек ул., д.29",192.61\88.9,147.9\87
"Новостроек ул., д.31",159.8\95,209.1\126
"Новостроек ул., д.33",203.5\133.6,193\146
"Новостроек ул., д.35",284.325\181.1,318.75\188
"Оборонная ул., д.3",213.4\151.6,123\128
"Оборонная ул., д.4",1015.2\559.9,759\380
"Оборонная ул., д.5",488\325.8,356\270
"Оборонная ул., д.6",.01\5.3,1\0
"Оборонная ул., д.7/20",263.3\138.3,292\115
"Оборонная ул., д.14",94.1\51.7,89\45
"Оборонная ул., д.17/13",89.8\43.7,84\45
"Оборонная ул., д.19",84.8\40.2,82\82
"Оборонная ул., д.20/18",101.9\58.2,66\41
"Оборонная ул., д.23/17",50.3\25.9,74\16
"Оборонная ул., д.27",93.4\47.8,63\33
"Огородный пер., д.4, к.3",322.7\235.4,291\227
"Огородный пер., д.6, к.1",235.3\120,403\201
"Огородный пер., д.6, к.2",390\194,390\194
"Огородный пер., д.11",84\32,119\39
"Промышленная ул., д.12",58.6\44.9,43\38
"Промышленная ул., д.26",139.8\78.5,136\103
"Промышленная ул., д.28",148.7\75,115\56
"Промышленная ул., д.30",16.7\7.9,20\34
"Промышленная ул., д.34",80.4\50.3,53\41
"Промышленная ул., д.36",41.1\20.1,29\15
"Промышленная ул., д.38",19.3\9.6,29\32
"Севастопольская ул., д.6",93.9\46.9,96\48
"Севастопольская ул., д.34",32.4\18.4,53\13
"Севастопольская ул., д.43",22.2\15.6,20\0
"Стачек пр., д.1",563.1\158.4,547.97\80
"Стачек пр., д.2/2",109.2\61.2,73\38
"Стачек пр., д.4/1",156\92,136\83
"Стачек пр., д.6",74.06\72.1,65.32\65
"Стачек пр., д.8/2",8.3\16.8,37\32
"Стачек пр., д.8а",157.16\0,157.16\0
"Стачек пр., д.9",357.3\230.7,287\237
"Стачек пр., д.10",165.1\154.4,207\185
"Стачек пр., д.11",270.502\262.4,177.12\241
"Стачек пр., д.15",92\67,55\47
"Стачек пр., д.17",626.64\320.4,588.166\307
"Стачек пр., д.19",1279.9\667.7,720\415
"Стачек пр., д.21",2567.07\1027.4,1738.44\655
"Стачек пр., д.22",84.8\67.3,80\73
"Стачек пр., д.22а",893.3\336.6,832\899
"Стачек пр., д.23",1046.6\546,722\379
"Стачек пр., д.24",547\286,547\286
"Стачек пр., д.27",26\20,8\12
"Стачек пр., д.29",283.3\173.6,147\122
"Стачек пр., д.33/2",40.8\40,37\35
"Стачек пр., д.34, к.1",97\60,105\76
"Стачек пр., д.34, к.2",52.2\31.5,37\26
"Стачек пр., д.35",68.7\44.3,66\50
"Стачек пр., д.38",40.7\20.8,30\15
"Стачек пр., д.41",397.2\264.7,238\175
"Стачек пр., д.42",17\25,33\39
"Стачек пр., д.95, к.1",2710.5\1524.1,2387\1392
"Стачек пр., д.101, к.1а",1486.38\864.3,1314.72\674
"Стачек пр., д.101, к.1б",995.601\863.9,1145.43\1190
