"Краснопутиловская ул., д.16/13",682.84\327,646.1\298
"Краснопутиловская ул., д.18",84\54,61.6\41.8
"Краснопутиловская ул., д.20",340\226,319.77\213.4
"Краснопутиловская ул., д.26",460.96\244,440.3\238
"Краснопутиловская ул., д.28/20",386.88\204,409\217
"Ленинский пр., д.110, к.1а",291\269,240.8\221.2
"Ленинский пр., д.110, к.1б",1205\1182,1093.4\1046.1
"Ленинский пр., д.120, к.2",103\132,148\144
"Ленинский пр., д.124",1557.08\1342,1505.5\720
"Ленинский пр., д.130, к.2",847\396,807.4\379.5
"Майков пер., д.3",48\50,47\54
"Майков пер., д.5а",57\31,70\36
"Майков пер., д.7/1",113\59,149\75
"Маршала Говорова ул., д.3/7",343.16\0,294.8\0
"Маршала Говорова ул., д.5/4",275.73\257,237\217
"Маршала Говорова ул., д.6/5",97.76\91,89.206\83.2
"Маршала Говорова ул., д.7",150\84,136.8\78
"Маршала Говорова ул., д.11/3",683.62\0,683.6\0
"Маршала Говорова ул., д.15",37.74\91,25.752\74.1
"Маршала Говорова ул., д.16",4125\1730,3891\1605
"Маршала Говорова ул., д.17",53.94\62,41.292\42
"Маршала Говорова ул., д.21",237\187,212.8\172.2
"Маршала Говорова ул., д.22/10",405.72\303,398\295
"Маршала Говорова ул., д.22, к.2",102.7\103,94.8\93.5
"Маршала Говорова ул., д.23",220\112,179.2\91.2
"Маршала Говорова ул., д.24",334\257,398\317
"Маршала Говорова ул., д.26, к.2",287\149,271.7\146.3
"Маршала Жукова пр., д.18а",899\399,965\441
"Маршала Жукова пр., д.18б",2069.1\1060,2007.7\962.4
"Маршала Жукова пр., д.18в",2175\1160,3441\1279
"Маршала Жукова пр., д.18г",1088.78\849,1093.68\872
"Маршала Жукова пр., д.18д",990\537,985.76\531.44
"Маршала Жукова пр., д.26/16а",759\568,717.6\547.2
"Маршала Жукова пр., д.26/16б",1481.19\890,1410.8\861
"Маршала Жукова пр., д.26/16в",1199.89\909,1111.6\833.3
"Маршала Жукова пр., д.28, к.1",1628.76\1043,1617\1008.7
"Маршала Жукова пр., д.30, к.2а",1050\630,1023\606
"Маршала Жукова пр., д.30, к.2б",606\159,564\151.2
"Маршала Жукова пр., д.30, к.2в",2748\1530,2670.8\1470.85
"Маршала Жукова пр., д.30, к.2г",1250\926,1183.2\861.6
"Маршала Жукова пр., д.30, к.2д",2630\1430,2570.4\1408.8
"Маршала Жукова пр., д.30, к.2е",808\653,758.4\639.4
"Маршала Жукова пр., д.30, к.2ж",1609\989,1578.5\958.1
"Маршала Жукова пр., д.32, к.1",2930.37\1623,2898.4\1580.7
"Маршала Жукова пр., д.34, к.1а",1393\1047,1303.9\1010.1
"Маршала Жукова пр., д.34, к.1б",336\68,325\66
"Маршала Жукова пр., д.34, к.1в",1527\1302,1443.99\1254.76
"Маршала Жукова пр., д.34, к.1г",792.82\583,703.2\534
"Маршала Жукова пр., д.34, к.1д",651\131,627\128
"Маршала Жукова пр., д.34, к.1е",989\198,951.75\194.3
"Маршала Казакова ул., д.1, к.2",887\868,870.5\923
"Маршала Казакова ул., д.3, к.1",1033\492,1218\594
"Маршала Казакова ул., д.5, к.1а",441\402,443\381
"Маршала Казакова ул., д.5, к.1б",853.2\734,906.3\842
"Маршала Казакова ул., д.10, к.1а",802.89\767,937.53\749
"Маршала Казакова ул., д.10, к.1б",686.07\502,661\465
"Маршала Казакова ул., д.10, к.1в",944.46\538,1068.21\568
"Маршала Казакова ул., д.10, к.1д",557.37\668,547.81\622.6
"Маршала Казакова ул., д.13",2137.59\691,2349.87\791
"Метростроевцев ул., д.2",179.55\192,194.8\199
"Метростроевцев ул., д.3",84.33\56,65.4\0
"Морской пехоты ул., д.4",1548\1121,1659\1202
"Морской пехоты ул., д.6, к.1",1492.1\510,1636.58\569
"Морской пехоты ул., д.10, к.1",1553\810,1719\837
"Морской пехоты ул., д.14",1072\592,1300\727
"Народного ополчения пр., д.7",341\151,304.2\133.9
"Новаторов бул., д.1",119.7\187,112.5\219.7
"Новаторов бул., д.3",84\55,97\63
"Новоовсянниковская ул., д.9",17\6,40\21
"Новоовсянниковская ул., д.13",46\21,26\23
"Новоовсянниковская ул., д.19, к.2",31\12,106\58
"Новостроек ул., д.8",26\12,10\4
"Новостроек ул., д.20",203\129,187.95\122.85
"Новостроек ул., д.25",224.4\131,217.6\132
"Новостроек ул., д.27",20\32,94\30
"Новостроек ул., д.28",75\51,71.5\46.2
"Новостроек ул., д.29",164.5\96,181.05\108
"Новостроек ул., д.31",245.65\147,255\153
"Новостроек ул., д.33",188\144,160\111
"Новостроек ул., д.35",242.25\159,310.3\202
"Оборонная ул., д.3",81\99,98\131
"Оборонная ул., д.4",727\384,1272\628
"Оборонная ул., д.5",254\230,224\249
"Оборонная ул., д.6",.01\0,4\1
"Оборонная ул., д.7/20",210\116,146\95
"Оборонная ул., д.14",97\47,85\43
"Оборонная ул., д.17/13",61\32,57\29
"Оборонная ул., д.19",113\16,96\47
"Оборонная ул., д.20/18",80\49,85\43
"Оборонная ул., д.23/17",41\43,40\21
"Оборонная ул., д.27",76\39,50\25
"Огородный пер., д.4, к.3",255\199,279\234
"Огородный пер., д.6, к.1",311\144,312\158
"Огородный пер., д.6, к.2",562.17\0,356\199
"Огородный пер., д.11",119\34,532\193
"Промышленная ул., д.12",89\60,81.4\38.5
"Промышленная ул., д.26",115\69,116\68
"Промышленная ул., д.28",80\40,74\37
"Промышленная ул., д.30",8\0,44\13
"Промышленная ул., д.34",58\37,69\42
"Промышленная ул., д.36",28\14,31\16
"Промышленная ул., д.38",3\15,19\4
"Севастопольская ул., д.6",87\43,90\45
"Севастопольская ул., д.34",54\14,42\45
"Севастопольская ул., д.43",16\44,16\24
"Стачек пр., д.1",418.97\68,1011.6\212
"Стачек пр., д.2/2",39\38,107\40
"Стачек пр., д.4/1",150\90,154\93
"Стачек пр., д.6",59.8\84,55\79
"Стачек пр., д.8/2",35\29.2,32\28
"Стачек пр., д.8а",157.16\0,157.2\0
"Стачек пр., д.9",407\289,587\389
"Стачек пр., д.10",134\145,103.4\130.9
"Стачек пр., д.11",142.68\176,152.52\221
"Стачек пр., д.15",34\28,26.4\20.9
"Стачек пр., д.17",562.806\313,691.6\341
"Стачек пр., д.19",669\367,707\396
"Стачек пр., д.21",1660.23\637,2080\825
"Стачек пр., д.22",107\91,76\98
"Стачек пр., д.22а",919\749,886.17\825
"Стачек пр., д.23",595\313,1075\494
"Стачек пр., д.24",547\286,67\45
"Стачек пр., д.27",63\51,46.5\45
"Стачек пр., д.29",155\136,223\143
"Стачек пр., д.33/2",26\44,29\38
"Стачек пр., д.34, к.1",241\129,228\125
"Стачек пр., д.34, к.2",23\15,29\14
"Стачек пр., д.35",58\45,34\43
"Стачек пр., д.38",7\4,7\3
"Стачек пр., д.41",162\148,312\226
"Стачек пр., д.42",5\18,4\22
"Стачек пр., д.95, к.1",2068\1187,2192\1199
"Стачек пр., д.101, к.1а",1225.62\655,1394.9\781
"Стачек пр., д.101, к.1б",728.64\562,700.2\567
"Стачек пр., д.101, к.1в",1806\1034,2155\1210
"Стачек пр., д.101, к.1г",793\663,776\660.5
"Стачек пр., д.101, к.1д",1017\621,1174\723
"Стачек пр., д.102",68\12,60.5\10
"Стачек пр., д.103, к.1",854.37\1099,1308.8\1487
"Стачек пр., д.105, к.2а",855\560,775.2\498
"Стачек пр., д.105, к.2б",1697.41\1352,1572.7\1277.6
"Стачек пр., д.105, к.2в",2461\1131,2400\1044
"Стачек пр., д.105, к.2г",831\822,781.3\777.6
"Стачек пр., д.105, к.2д",2353.23\1597,2235.5\1491.8
"Стачек пр., д.105, к.2е",1288.54\766,1262.784\697.2
"Стачек пр., д.105, к.2ж",260.8\1265,2513.8\1232.01
"Стачек пр., д.105, к.2з",1164.03\936,1073.85\891.6
"Стачек пр., д.107, к.1",1705.2\776,1486.3\608.3
"Тракторная ул., д.3",45\80,47\78
"Тракторная ул., д.4",62\40,75\46
"Тракторная ул., д.4а",88\102,72.6\86.9
"Тракторная ул., д.5",72\74,113\77
"Тракторная ул., д.6",26\35,20\22
"Тракторная ул., д.6, к.2",20\26,15\13
"Тракторная ул., д.7",40\46,67\47
"Тракторная ул., д.8",16\25,11\25
"Тракторная ул., д.9",199\197,165.6\184.8
"Тракторная ул., д.10",15\22,13\14
"Тракторная ул., д.11",82\42,111\57
"Тракторная ул., д.12",38\122,40\129
"Тракторная ул., д.13",78\60,66\53
"Тракторная ул., д.15",76\39,112\61
"Трамвайный пр., д.5",52\171,37.4\125.4
"Трамвайный пр., д.7, к.1",92\88,133\96
"Трамвайный пр., д.7, к.2",522\258,517\254.1
"Трамвайный пр., д.9, к.1",94\208,75.6\198
"Трамвайный пр., д.9, к.2",278\115,239.4\112.2
"Трамвайный пр., д.11, к.1",15\9,14\8
"Трамвайный пр., д.11, к.2",72\68,71\67
"Трамвайный пр., д.11, к.3",115\37,104.64\34.88
"Трамвайный пр., д.11, к.6",781\339,783\348
"Трамвайный пр., д.13, к.1",17\4,24\14
"Трамвайный пр., д.13, к.2",28\26,28\26
"Трамвайный пр., д.13, к.3",52\31,74\39
"Трамвайный пр., д.15, к.1",131\153,87.6\94.8
"Трамвайный пр., д.15, к.2",39\42,76\64
"Трамвайный пр., д.15, к.3",57\103,36\88.8
"Трамвайный пр., д.17",26\37,20\31.9
"Трефолева ул., д.3",1029\444,1021.8\431.6
"Трефолева ул., д.5",149\149,110.6\140.4
"Трефолева ул., д.11",41\31,39\27
"Трефолева ул., д.15",620\390,686\443
"Трефолева ул., д.16",122\147,99.6\147.6
"Трефолева ул., д.22/25",2364.1\1025,2269.1\988.8
"Трефолева ул., д.26",156\90,124.8\67.6
"Турбинная ул., д.11",124\65,182\97
"Тургеневский пер., д.3",20\9,22\10
"Тургеневский пер., д.5",20\34,58\61
"Урюпин пер., д.2/6",.001\0,.01\0
"Урюпин пер., д.5",154\135,182\127
"Швецова ул., д.6",55\7,8\4
"Швецова ул., д.10",344\406,313.5\404
"Швецова ул., д.11",382\200,369.6\178.8
"Швецова ул., д.17",546\262,508.2\247.5
"Швецова ул., д.19",971.19\439,822.4\361.4
"Шотландская ул., д.3",1142\399,1380\520
