"Тракторная ул., д.6",127\49,121\42
"Тракторная ул., д.6, к.2",27\41,23\35
"Тракторная ул., д.7",72\114,65\102
"Тракторная ул., д.8",52\69,47\71
"Тракторная ул., д.9",118\118,110\95
"Тракторная ул., д.10",25\6,22\9
"Тракторная ул., д.12",60\56,58\56
"Тракторная ул., д.13",175\124,162\113
"Тракторная ул., д.15",82\78,76\72
"Трамвайный пр., д.5",102\120,102\120
"Трамвайный пр., д.7, к.1",169\235,196\234
"Трамвайный пр., д.7, к.2",523\261,585\295
"Трамвайный пр., д.9, к.1",103\212,120\240
"Трамвайный пр., д.9, к.2",179\91,153\78
"Трамвайный пр., д.11, к.1",34\34,36\49
"Трамвайный пр., д.11, к.2",45\60,47\52
"Трамвайный пр., д.11, к.3",60\136,60\117
"Трамвайный пр., д.11, к.6",999\476,1104\582
"Трамвайный пр., д.13, к.1",121\118,81\73
"Трамвайный пр., д.13, к.2",62\56,48\4
"Трамвайный пр., д.13, к.3",1050.00,1050.00
"Трамвайный пр., д.15, к.1",118\122,123\104
"Трамвайный пр., д.15, к.2",84\68,88\64
"Трамвайный пр., д.15, к.3",41\61,52\64
"Трамвайный пр., д.17",66\83,60\73
"Трефолева ул., д.3",1278\420,751\413
"Трефолева ул., д.5",208\249,201\232
"Трефолева ул., д.11",19\56,62\55
"Трефолева ул., д.15",167\407,320\556
"Трефолева ул., д.22/25",1496\1008,1139\854
"Трефолева ул., д.26",143\146,76\39
"Турбинная ул., д.11",10\5,3\39
"Тургеневский пер., д.3",258\147,253\149
"Тургеневский пер., д.5",149\78,141\76
"Урюпин пер., д.2/6",64\36,53\33
"Урюпин пер., д.5",232\206,226\201
"Швецова ул., д.10",,887\333
"Шотландская ул., д.3",893\278,722\249
