"Маршала Жукова пр., д.26/16а",961.45\692.25,1106.45\714.25
"Маршала Жукова пр., д.26/16б",1836.39\1032.3,2242.38\1157.3
"Маршала Жукова пр., д.26/16в",1848.28\1421.6,2386.35\1598.6
"Маршала Жукова пр., д.28, к.1",2164.09\1467.9,2724.17\1718.9
"Маршала Жукова пр., д.30, к.2а",1278\882,1548\1032
"Маршала Жукова пр., д.30, к.2б",117.5\102.05,146.5\106.05
"Маршала Жукова пр., д.30, к.2в",3509\1896.95,4281\2180.95
"Маршала Жукова пр., д.30, к.2г",1552.45\1042.25,2226.45\1456.25
"Маршала Жукова пр., д.30, к.2д",3358.25\2027.55,3951.25\2189.55
"Маршала Жукова пр., д.30, к.2е",1147\901.05,1656\1138.05
"Маршала Жукова пр., д.30, к.2ж",2089.3\1357.95,2542.3\1469.95
"Маршала Жукова пр., д.32, к.1",3490.14\1815.75,4645.76\2252.75
"Маршала Жукова пр., д.34, к.1а",1767.3\1324.3,2223.3\1459.3
"Маршала Жукова пр., д.34, к.1б",349\71,384\80
"Маршала Жукова пр., д.34, к.1в",1983.85\1729.35,2560.85\2025.35
"Маршала Жукова пр., д.34, к.1г",1012.22\709.95,1322.3\827.95
"Маршала Жукова пр., д.34, к.1д",674\137,741\154
"Маршала Жукова пр., д.34, к.1е",1022.75\206.75,1122.75\234.75
"Маршала Казакова ул., д.1, к.2",1657.6\1139.45,2074.6\1306.45
"Маршала Казакова ул., д.3, к.1",1602.65\729.75,1614.65\704.75
"Маршала Казакова ул., д.5, к.1а",800.915\615.75,1037.62\715.75
"Маршала Казакова ул., д.5, к.1б",1645.39\1310.85,1789.89\1281.85
"Маршала Казакова ул., д.10, к.1а",1855.5\798.5,1592.98\896.5
"Маршала Казакова ул., д.10, к.1б",1232.4\759.45,1417.13\746.45
"Маршала Казакова ул., д.10, к.1в",1608.23\964.1,2006.99\1003.1
"Маршала Казакова ул., д.10, к.1д",1465.76\1057,1674.03\1152
"Маршала Казакова ул., д.13",667.55\379.4,756.55\403.4
"Метростроевцев ул., д.2",288.33\242.9,345.325\256.9
"Метростроевцев ул., д.3",71.75\53.25,51.75\34.25
"Морской пехоты ул., д.4",2300.8\1400,2671.8\1597
"Морской пехоты ул., д.6, к.1",1359.07\430.75,1628.77\491.75
"Морской пехоты ул., д.10, к.1",1970.95\966.2,2191.95\1013.2
"Морской пехоты ул., д.14",1633.3\965.6,1690.3\961.6
"Народного ополчения пр., д.7",489.6\222.55,419.6\201.55
"Новаторов бул., д.1",313.065\262.3,302.265\260.3
"Новаторов бул., д.3",212.1\105.75,212.1\117.75
"Новоовсянниковская ул., д.9",13.65\7.25,24.65\7.25
"Новоовсянниковская ул., д.13",46.25\17.35,51.25\26.35
"Новостроек ул., д.8",96.6\56.35,96.6\56.35
"Новостроек ул., д.20",204.75\138.35,225.75\143.35
"Новостроек ул., д.25",278.93\165.45,289.128\171.45
"Новостроек ул., д.27",74.45\40.8,72.45\36.8
"Новостроек ул., д.28",132.55\78.75,133.55\74.75
"Новостроек ул., д.29",213.69\125.85,185.64\108.85
"Новостроек ул., д.31",281.9\0,281.9\0
"Новостроек ул., д.33",175.75\104.9,174.75\105.9
"Новостроек ул., д.35",239.06\140.65,176.163\127.65
"Оборонная ул., д.3",136.6\103.4,202.6\128.4
"Оборонная ул., д.4",1011.8\108.85,870.8\176.85
"Оборонная ул., д.5",442\332.2,502\330.2
"Оборонная ул., д.6",41\27.95,40.1\27.95
"Оборонная ул., д.7/20",41.95\23.95,75.95\42.95
"Оборонная ул., д.14",65.15\97.05,66.81\97.05
"Оборонная ул., д.15",1.15\1.15,
"Оборонная ул., д.17/13",90.7\125.05,105.7\61.05
"Оборонная ул., д.19",146.7\205.3,113.7\87.3
"Оборонная ул., д.20/18",55.35\34.8,83.35\40.8
"Оборонная ул., д.23/17",73.95\38.85,110.95\57.85
