"Новостроек ул., д.29",357\177,196\93
"Новостроек ул., д.31",312\162,233\121
"Новостроек ул., д.33",308\212,173\134
"Новостроек ул., д.35",146\72,118\59
"Оборонная ул., д.3",102\154,8\283
"Оборонная ул., д.4",872\469,798\470
"Оборонная ул., д.6",117\33,102\24
"Оборонная ул., д.14",272\183,230\150
"Оборонная ул., д.15",,5\5
"Оборонная ул., д.17/13",241\148,102\68
"Оборонная ул., д.19",195\206,70\37
"Оборонная ул., д.20/18",43\21,200\65
"Оборонная ул., д.23/17",75\39,70\50
"Оборонная ул., д.27",258\0,55\30
"Огородный пер., д.4, к.3",524\284,319\194
"Огородный пер., д.6, к.1",394\215,247\131
"Промышленная ул., д.26",160\2,151\5
"Промышленная ул., д.28",138\67,133\65
"Промышленная ул., д.30",30\15,10\5
"Промышленная ул., д.34",34\64,105\53
"Промышленная ул., д.38",98\59,47\24
"Севастопольская ул., д.6",224\0,160\55
"Севастопольская ул., д.34",45\54,50\30
"Стачек пр., д.1",1039\781,572\567
"Стачек пр., д.2/2",156\48,102\54
"Стачек пр., д.4/1",219\112,252\138
"Стачек пр., д.11",339\237,0\230
"Стачек пр., д.17",864\545,422\267
"Стачек пр., д.19",1490\597,1411\566
"Стачек пр., д.22",217\166,342\222
"Стачек пр., д.22а",868\430,1726\668
"Стачек пр., д.23",798\391,1328\764
"Стачек пр., д.29",183\84,125\95
"Стачек пр., д.33/2",142\174,1022\58
"Стачек пр., д.34, к.2",280\99,120\66
"Стачек пр., д.35",198\151,123\89
"Стачек пр., д.42",50\41,15\21
"Стачек пр., д.95, к.1",1614\986,1400\928
"Стачек пр., д.101, к.1а",2381\1121,1542\1003
"Стачек пр., д.101, к.1б",984\1087,604\805
"Стачек пр., д.101, к.1в",2803\1657,2344\1587
"Стачек пр., д.101, к.1г",1750\1128,1035\887
"Стачек пр., д.101, к.1д",1640\979,1293\876
"Стачек пр., д.103, к.1",3713\3999,2936\3600
"Стачек пр., д.105, к.2а",1318\580,942\409
"Стачек пр., д.105, к.2б",2766\1744,1914\1387
"Стачек пр., д.105, к.2в",4216\2374,
"Стачек пр., д.105, к.2г",2124\1482,1401\1155
"Стачек пр., д.105, к.2д",4553\2332,
"Стачек пр., д.105, к.2е",2482\1570,1520\1080
"Стачек пр., д.105, к.2ж",3474\1932,2665\1795
"Стачек пр., д.105, к.2з",1899\1029,1311\852
"Стачек пр., д.107, к.1",1815\389,1484\1269
"Тракторная ул., д.3",139\131,82\82
"Тракторная ул., д.4",114\69,99\71
"Тракторная ул., д.4а",382\274,313\290
"Тракторная ул., д.5",132\80,118\102
"Тракторная ул., д.6",169\111,84\74
"Тракторная ул., д.6, к.2",24\8,65\50
"Тракторная ул., д.7",283\130,195\129
"Тракторная ул., д.8",140\135,121\93
"Тракторная ул., д.9",215\148,193\134
"Тракторная ул., д.10",73\43,60\57
"Тракторная ул., д.12",120\71,96\61
"Тракторная ул., д.13",471\253,163\111
"Тракторная ул., д.15",346\197,167\126
"Трамвайный пр., д.5",336\311,213\240
"Трамвайный пр., д.7, к.1",500\387,334\313
"Трамвайный пр., д.7, к.2",569\297,457\233
"Трамвайный пр., д.9, к.1",494\383,296\265
"Трамвайный пр., д.9, к.2",199\103,161\83
"Трамвайный пр., д.11, к.1",87\61,58\0
"Трамвайный пр., д.11, к.2",203\140,104\117
"Трамвайный пр., д.11, к.3",331\217,212\170
"Трамвайный пр., д.11, к.6",1082\508,934\437
"Трамвайный пр., д.13, к.1",260\150,178\125
"Трамвайный пр., д.13, к.2",383\172,284\155
"Трамвайный пр., д.15, к.1",306\232,218\201
"Трамвайный пр., д.15, к.2",246\144,149\107
"Трамвайный пр., д.15, к.3",230\174,118\98
"Трамвайный пр., д.17",194\139,116\107
"Трефолева ул., д.3",963\433,1364\595
"Трефолева ул., д.5",667\423,429\348
"Трефолева ул., д.11",226\106,400\288
"Трефолева ул., д.15",717\405,563\392
"Трефолева ул., д.22/25",1448\753,3503\1498
"Трефолева ул., д.26",167\116,145\74
"Тургеневский пер., д.3",524\260,339\174
"Тургеневский пер., д.5",286\170,128\81
"Урюпин пер., д.2/6",129\61,52\26
"Урюпин пер., д.5",230\126,648\499
"Шотландская ул., д.3",1832\384,2676\191
