"Маршала Говорова ул., д.16",5821.4\2265.15,4999.4\1910.15
"Маршала Говорова ул., д.17",107.741\71.3,121.691\86.3
"Маршала Говорова ул., д.21",406.75\214.9,416.75\219.9
"Маршала Говорова ул., д.22/10",615.48\385,540.04\364
"Маршала Говорова ул., д.22, к.2",148.046\116.25,147.256\124.25
"Маршала Говорова ул., д.23",210.55\104.95,204.55\97.95
"Маршала Говорова ул., д.24",788.35\461.8,625.35\390.8
"Маршала Говорова ул., д.26, к.2",226.35\115.85,358.35\181.85
"Маршала Жукова пр., д.18а",1196.95\531.2,1167.95\536.2
"Маршала Жукова пр., д.18б",3100.89\1455.6,3325.62\1561.6
"Маршала Жукова пр., д.18в",3519.85\1720.6,3420.85\1800.6
"Маршала Жукова пр., д.18г",1852.57\1004,1852.57\1101
"Маршала Жукова пр., д.18д",1292.65\641.1,1226.65\655.1
"Маршала Жукова пр., д.26/16а",1129.45\712.25,1143.45\758.25
"Маршала Жукова пр., д.26/16б",2171.12\1102.3,2177.91\1120.3
"Маршала Жукова пр., д.26/16в",2480.98\1564.6,2063.88\1382.6
"Маршала Жукова пр., д.28, к.1",2654.29\1552.9,2417.13\1556.9
"Маршала Жукова пр., д.30, к.2а",1818\942,1548\912
"Маршала Жукова пр., д.30, к.2б",165.5\99.05,165.5\116.05
"Маршала Жукова пр., д.30, к.2в",4298\2006.95,4517\2490.95
"Маршала Жукова пр., д.30, к.2г",2463.45\1456.25,2586.45\1507.25
"Маршала Жукова пр., д.30, к.2д",4019.25\2013.55,3773.25\2037.55
"Маршала Жукова пр., д.30, к.2е",1792\1218.05,1595\1115.05
"Маршала Жукова пр., д.30, к.2ж",2740.3\1382.95,2288.3\1347.95
"Маршала Жукова пр., д.32, к.1",4639.51\2072.75,4707.41\2128.75
"Маршала Жукова пр., д.34, к.1а",2256.3\1356.3,2110.3\1424.3
"Маршала Жукова пр., д.34, к.1б",351\78,366\76
"Маршала Жукова пр., д.34, к.1в",2556.85\1990.35,2490.85\2019.35
"Маршала Жукова пр., д.34, к.1г",1454.38\869.95,1358.34\894.95
"Маршала Жукова пр., д.34, к.1д",678\152,706\147
"Маршала Жукова пр., д.34, к.1е",1028.75\230.75,1069.75\221.75
"Маршала Казакова ул., д.1, к.2",2032.6\1187.45,1794.6\1164.45
"Маршала Казакова ул., д.3, к.1",1525.65\645.75,1590.65\682.75
"Маршала Казакова ул., д.5, к.1а",872.415\594.75,768.915\574.75
"Маршала Казакова ул., д.5, к.1б",1732.59\1153.85,1472.49\1049.85
"Маршала Казакова ул., д.10, к.1а",1268.65\991.5,1370.62\1065.5
"Маршала Казакова ул., д.10, к.1б",1396.86\802.45,1150.35\695.45
"Маршала Казакова ул., д.10, к.1в",1687.49\837.1,1707.29\829.1
"Маршала Казакова ул., д.10, к.1д",1410.21\981,1373.58\992
"Маршала Казакова ул., д.13",1902.12\680.4,2429.34\793.4
"Метростроевцев ул., д.2",424.175\282.9,333.925\241.9
"Метростроевцев ул., д.3",80\54,82.75\54.25
"Морской пехоты ул., д.4",2487.8\1367,2119.8\1241
"Морской пехоты ул., д.6, к.1",1947.95\570.75,1839.59\517.75
"Морской пехоты ул., д.10, к.1",2306.95\1187.2,2208.95\1148.2
"Морской пехоты ул., д.14",1534.3\875.6,1473.3\826.6
"Народного ополчения пр., д.7",523.6\240.55,357.6\161.55
"Новаторов бул., д.1",448.065\319.3,310.365\253.3
"Новаторов бул., д.3",214.1\104.75,188.1\92.75
"Новоовсянниковская ул., д.9",24.65\11.25,24.65\12.25
"Новоовсянниковская ул., д.13",51.25\26.35,86.25\44.35
"Новоовсянниковская ул., д.19, к.2",38\19,33\18
"Новостроек ул., д.8",44.6\24.35,37.6\13.35
"Новостроек ул., д.20",287.75\161.35,269.75\155.35
"Новостроек ул., д.25",335.878\198.45,246.628\145.45
"Новостроек ул., д.27",76.45\40.8,67.45\35.8
"Новостроек ул., д.28",172.55\93.75,134.55\85.75
"Новостроек ул., д.29",191.59\114.85,133.79\104.85
"Новостроек ул., д.31",345.1\205,181.9\312
"Новостроек ул., д.33",268.75\164.9,251.75\161.9
"Новостроек ул., д.35",233.963\159.65,252.663\163.65
"Оборонная ул., д.3",288.6\163.4,218.6\130.4
"Оборонная ул., д.4",501.8\256.85,1210.8\621.85
