"Маршала Жукова пр., д.18а",965\441,954\643
"Маршала Жукова пр., д.18б",2007.7\962.4,1973.42\890.4
"Маршала Жукова пр., д.18в",3441\1279,3283.2\1207
"Маршала Жукова пр., д.18г",1093.68\872,1072\850
"Маршала Жукова пр., д.18д",985.76\531.44,977\512
"Маршала Жукова пр., д.20",,5086\1427
"Маршала Жукова пр., д.26/16а",717.6\547.2,638\463
"Маршала Жукова пр., д.26/16б",1410.8\861,1356\825
"Маршала Жукова пр., д.26/16в",1111.6\833.3,1056.33\750
"Маршала Жукова пр., д.28, к.1",1617\1008.7,1501.36\1100
"Маршала Жукова пр., д.30, к.2а",1023\606,1110\720
"Маршала Жукова пр., д.30, к.2б",564\151.2,484\137
"Маршала Жукова пр., д.30, к.2в",2670.8\1470.85,2458\1330
"Маршала Жукова пр., д.30, к.2г",1183.2\861.6,1060\794
"Маршала Жукова пр., д.30, к.2д",2570.4\1408.8,2206\1342
"Маршала Жукова пр., д.30, к.2е",758.4\639.4,716\580
"Маршала Жукова пр., д.30, к.2ж",1578.5\958.1,1606\907
"Маршала Жукова пр., д.32, к.1",2898.4\1580.7,2876\1450
"Маршала Жукова пр., д.34, к.1а",1303.9\1010.1,1040\848
"Маршала Жукова пр., д.34, к.1б",325\66,282\68
"Маршала Жукова пр., д.34, к.1в",1443.99\1254.76,1340\1023
"Маршала Жукова пр., д.34, к.1г",703.2\534,625\530
"Маршала Жукова пр., д.34, к.1д",627\128,545\132
"Маршала Жукова пр., д.34, к.1е",951.75\194.3,825\200
"Маршала Казакова ул., д.1, к.2",870.5\923,868\913
"Маршала Казакова ул., д.3, к.1",1218\594,1172\571
"Маршала Казакова ул., д.5, к.1а",443\381,482.4\392
"Маршала Казакова ул., д.5, к.1б",906.3\842,901\834
"Маршала Казакова ул., д.10, к.1а",937.53\749,940.5\902
"Маршала Казакова ул., д.10, к.1б",661\465,651\459
"Маршала Казакова ул., д.10, к.1в",1068.21\568,1096.92\557
"Маршала Казакова ул., д.10, к.1д",547.81\622.6,540.5\571
"Маршала Казакова ул., д.13",2349.87\791,2328.96\804
"Метростроевцев ул., д.2",194.8\199,186\163
"Метростроевцев ул., д.3",65.4\0,46.44\0
"Морской пехоты ул., д.4",1659\1202,1645\1194
"Морской пехоты ул., д.6, к.1",1636.58\569,2131.08\493
"Морской пехоты ул., д.10, к.1",1719\837,1707\801
"Морской пехоты ул., д.14",1300\727,1265\680
"Народного ополчения пр., д.7",304.2\133.9,265\112
"Новаторов бул., д.1",112.5\219.7,98\167
"Новаторов бул., д.3",97\63,72.6\54.6
"Новоовсянниковская ул., д.9",40\21,32\18
"Новоовсянниковская ул., д.13",26\23,21\7
"Новоовсянниковская ул., д.17а",,68\40
"Новоовсянниковская ул., д.19, к.2",106\58,102\36
"Новостроек ул., д.8",10\4,6\3
"Новостроек ул., д.20",187.95\122.85,247\158
"Новостроек ул., д.25",217.6\132,243.95\147
"Новостроек ул., д.27",94\30,78\42
"Новостроек ул., д.28",71.5\46.2,89\59
"Новостроек ул., д.29",181.05\108,165.4\102
"Новостроек ул., д.31",255\153,243\142
"Новостроек ул., д.33",160\111,175\117
"Новостроек ул., д.35",310.3\202,303\194.3
"Оборонная ул., д.3",98\131,95\104
"Оборонная ул., д.4",1272\628,1242\546
"Оборонная ул., д.5",224\249,203\236
"Оборонная ул., д.6",4\1,1\8
"Оборонная ул., д.7/20",146\95,110\85
"Оборонная ул., д.14",85\43,57\29
"Оборонная ул., д.17/13",57\29,67\41
"Оборонная ул., д.19",96\47,89\40
"Оборонная ул., д.20/18",85\43,77\36
"Оборонная ул., д.23/17",40\21,59\30
"Оборонная ул., д.27",50\25,28\12
"Огородный пер., д.4, к.3",279\234,274\190
"Огородный пер., д.6, к.1",312\158,543\276
"Огородный пер., д.6, к.2",356\199,442\271
"Огородный пер., д.11",532\193,530\128
"Промышленная ул., д.12",81.4\38.5,60\39
"Промышленная ул., д.26",116\68,114\67
"Промышленная ул., д.28",74\37,61\30
"Промышленная ул., д.30",44\13,93\15
"Промышленная ул., д.34",69\42,45\28
"Промышленная ул., д.36",31\16,24\12
"Промышленная ул., д.38",19\4,16\63
"Севастопольская ул., д.6",90\45,53\27
"Севастопольская ул., д.34",42\45,37\23
"Севастопольская ул., д.43",16\24,98\21
"Стачек пр., д.1",1011.6\212,1001\100
"Стачек пр., д.2/2",107\40,85\46
"Стачек пр., д.4/1",154\93,126\79
"Стачек пр., д.6",55\79,52.4\83
"Стачек пр., д.8/2",32\28,14\22
"Стачек пр., д.8а",157.2\0,111.6\0
"Стачек пр., д.9",587\389,549\356.4
"Стачек пр., д.10",103.4\130.9,144\116
"Стачек пр., д.11",152.52\221,128\204
"Стачек пр., д.15",26.4\20.9,12\16
"Стачек пр., д.17",691.6\341,607.2\227
"Стачек пр., д.19",707\396,482\263
"Стачек пр., д.21",2080\825,2037.3\783
"Стачек пр., д.22",76\98,109\113
"Стачек пр., д.22а",886.17\825,890\328
"Стачек пр., д.23",1075\494,917.8\451.5
"Стачек пр., д.24",67\45,92\57
"Стачек пр., д.27",46.5\45,34\31
"Стачек пр., д.29",223\143,196.9\136.4
"Стачек пр., д.33/2",29\38,19\32
"Стачек пр., д.34, к.1",228\125,263\139
"Стачек пр., д.34, к.2",29\14,26\14
"Стачек пр., д.35",34\43,85\22
"Стачек пр., д.38",7\3,8\4
"Стачек пр., д.41",312\226,588\381
"Стачек пр., д.42",4\22,22\34
"Стачек пр., д.95, к.1",2192\1199,2176.2\1146.15
"Стачек пр., д.101, к.1а",1394.9\781,1401.84\734
"Стачек пр., д.101, к.1б",700.2\567,667.2\519.2
"Стачек пр., д.101, к.1в",2155\1210,2076\1149
"Стачек пр., д.101, к.1г",776\660.5,763.35\648.8
"Стачек пр., д.101, к.1д",1174\723,1098\659
"Стачек пр., д.102",60.5\10,64\9
"Стачек пр., д.103, к.1",1308.8\1487,1267.15\1484.7
"Стачек пр., д.105, к.2а",775.2\498,709\471
"Стачек пр., д.105, к.2б",1572.7\1277.6,1573.96\1029
"Стачек пр., д.105, к.2в",2400\1044,2061\915
"Стачек пр., д.105, к.2г",781.3\777.6,610\734.4
"Стачек пр., д.105, к.2д",2235.5\1491.8,1932.48\1327
"Стачек пр., д.105, к.2е",1262.784\697.2,1208.6\591
"Стачек пр., д.105, к.2ж",2513.8\1232.01,2526.68\1111
"Стачек пр., д.105, к.2з",1073.85\891.6,884.89\746
"Стачек пр., д.107, к.1",1486.3\608.3,1304.38\595
"Тракторная ул., д.3",47\78,72\90
"Тракторная ул., д.4",75\46,57\37
"Тракторная ул., д.4а",72.6\86.9,76\84
"Тракторная ул., д.5",113\77,152\103
"Тракторная ул., д.6",20\22,19\21
"Тракторная ул., д.6, к.2",15\13,13\14
"Тракторная ул., д.7",67\47,66\37
"Тракторная ул., д.8",11\25,36\37
"Тракторная ул., д.9",165.6\184.8,186\154
"Тракторная ул., д.10",13\14,15\9
"Тракторная ул., д.11",111\57,71\35
"Тракторная ул., д.12",40\129,36\111
"Тракторная ул., д.13",66\53,126\78
"Тракторная ул., д.15",112\61,89\53
"Трамвайный пр., д.5",37.4\125.4,45\103
"Трамвайный пр., д.7, к.1",133\96,104\85
"Трамвайный пр., д.7, к.2",517\254.1,493\272
"Трамвайный пр., д.9, к.1",75.6\198,43\174
"Трамвайный пр., д.9, к.2",239.4\112.2,155\99.6
"Трамвайный пр., д.11, к.1",14\8,10\6
"Трамвайный пр., д.11, к.2",71\67,63\58
"Трамвайный пр., д.11, к.3",104.64\34.88,105\40
"Трамвайный пр., д.11, к.6",783\348,774\326
"Трамвайный пр., д.13, к.1",24\14,30\13
"Трамвайный пр., д.13, к.2",28\26,7\12
"Трамвайный пр., д.13, к.3",74\39,61\33
"Трамвайный пр., д.15, к.1",87.6\94.8,74\76
"Трамвайный пр., д.15, к.2",76\64,80\61
"Трамвайный пр., д.15, к.3",36\88.8,24\58
"Трамвайный пр., д.17",20\31.9,30\32
"Трефолева ул., д.3",1021.8\431.6,1048\440
"Трефолева ул., д.5",110.6\140.4,118\127
"Трефолева ул., д.11",39\27,47\35
"Трефолева ул., д.15",686\443,658.5\369.2
"Трефолева ул., д.16",99.6\147.6,140\139
"Трефолева ул., д.22/25",2269.1\988.8,2194.83\987
"Трефолева ул., д.26",124.8\67.6,111\42.9
"Турбинная ул., д.11",182\97,150\94
"Тургеневский пер., д.3",22\10,24\12
"Тургеневский пер., д.5",58\61,43\67
"Урюпин пер., д.2/6",.01\0,.01\0
"Урюпин пер., д.5",182\127,155\107
"Швецова ул., д.6",8\4,8\4
"Швецова ул., д.10",313.5\404,343\386
"Швецова ул., д.11",369.6\178.8,450\182
"Швецова ул., д.17",508.2\247.5,546\263
"Швецова ул., д.19",822.4\361.4,765.27\340
"Шотландская ул., д.3",1380\520,1322\487.8
